GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2022_Names,eBird_Group,Clements_Order,Clements_Family,Reconciliation
1507328,Abeillia abeillei,species,Abeillia abeillei,species,Caprimulgiformes,Trochilidae (Hummingbirds),
752199,Abroscopus albogularis,species,Abroscopus albogularis,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),
979563,Abroscopus albogularis fulvifacies,subspecies,Abroscopus albogularis fulvifacies,subspecies,Passeriformes,Scotocercidae (Bush Warblers and Allies),
565568,Abroscopus schisticeps,species,Abroscopus schisticeps,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),
330771,Abroscopus superciliaris,species,Abroscopus superciliaris,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),
331026,Abroscopus superciliaris superciliaris,subspecies,Abroscopus superciliaris superciliaris,subspecies,Passeriformes,Scotocercidae (Bush Warblers and Allies),
125058,Aburria aburri,species,Aburria aburri,species,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",
266413,Acanthagenys rufogularis,species,Acanthagenys rufogularis,species,Passeriformes,Meliphagidae (Honeyeaters),
200166,Acanthidops bairdi,species,Acanthidops bairdi,species,Passeriformes,Thraupidae (Tanagers and Allies),
1603565,Acanthis cabaret,species,Acanthis cabaret,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
54769,Acanthis flammea,species,Acanthis flammea,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
512417,Acanthis flammea flammea,subspecies,Acanthis flammea flammea,group (monotypic),Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
1603566,Acanthis flammea islandica,subspecies,Acanthis flammea islandica,subspecies,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
512418,Acanthis flammea rostrata,subspecies,Acanthis flammea rostrata,subspecies,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
90719,Acanthis hornemanni,species,Acanthis hornemanni,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
512419,Acanthis hornemanni exilipes,subspecies,Acanthis hornemanni exilipes,group (monotypic),Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
90720,Acanthis hornemanni hornemanni,subspecies,Acanthis hornemanni hornemanni,group (monotypic),Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",
2780113,Acanthis johannis,species,Linaria johannis,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",taxonomy
57068,Acanthisitta chloris,species,Acanthisitta chloris,species,Passeriformes,Acanthisittidae (New Zealand Wrens),
1333333,Acanthisitta chloris chloris,subspecies,Acanthisitta chloris chloris,subspecies,Passeriformes,Acanthisittidae (New Zealand Wrens),
2851597,Acanthisitta chloris granti,subspecies,Acanthisitta chloris granti,subspecies,Passeriformes,Acanthisittidae (New Zealand Wrens),
117185,Acanthiza apicalis,species,Acanthiza apicalis,species,Passeriformes,Acanthizidae (Thornbills and Allies),
108821,Acanthiza chrysorrhoa,species,Acanthiza chrysorrhoa,species,Passeriformes,Acanthizidae (Thornbills and Allies),
2489339,Acanthiza cinerea,species,Acanthiza cinerea,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117186,Acanthiza ewingii,species,Acanthiza ewingii,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117188,Acanthiza inornata,species,Acanthiza inornata,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117189,Acanthiza iredalei,species,Acanthiza iredalei,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117190,Acanthiza katherina,species,Acanthiza katherina,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117191,Acanthiza lineata,species,Acanthiza lineata,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117493,Acanthiza murina,species,Acanthiza murina,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117192,Acanthiza nana,species,Acanthiza nana,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117193,Acanthiza pusilla,species,Acanthiza pusilla,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117195,Acanthiza reguloides,species,Acanthiza reguloides,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117197,Acanthiza robustirostris,species,Acanthiza robustirostris,species,Passeriformes,Acanthizidae (Thornbills and Allies),
117199,Acanthiza uropygialis,species,Acanthiza uropygialis,species,Passeriformes,Acanthizidae (Thornbills and Allies),
266335,Acanthorhynchus superciliosus,species,Acanthorhynchus superciliosus,species,Passeriformes,Meliphagidae (Honeyeaters),
266336,Acanthorhynchus tenuirostris,species,Acanthorhynchus tenuirostris,species,Passeriformes,Meliphagidae (Honeyeaters),
720576,Acanthornis magna,species,Acanthornis magna,species,Passeriformes,Acanthizidae (Thornbills and Allies),
2868200,Accipiter albogularis,species,Accipiter albogularis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387787,Accipiter badius,species,Accipiter badius,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387788,Accipiter badius cenchroides,subspecies,Accipiter badius cenchroides,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993363,Accipiter badius dussumieri,subspecies,Accipiter badius dussumieri,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1028790,Accipiter badius poliopsis,subspecies,Accipiter badius poliopsis,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387789,Accipiter badius polyzonoides,subspecies,Accipiter badius polyzonoides,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387790,Accipiter badius sphenurus,subspecies,Accipiter badius sphenurus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
321116,Accipiter bicolor,species,Accipiter bicolor,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2884257,Accipiter brachyurus,species,Accipiter brachyurus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387791,Accipiter brevipes,species,Accipiter brevipes,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2884258,Accipiter butleri,species,Accipiter butleri,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993364,Accipiter castanilius,species,Accipiter castanilius,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868201,Accipiter chilensis,species,Accipiter chilensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1620262,Accipiter chionogaster,species,Accipiter striatus chionogaster,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
518695,Accipiter cirrocephalus,species,Accipiter cirrocephalus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518749,Accipiter cirrocephalus cirrocephalus,subspecies,Accipiter cirrocephalus cirrocephalus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868202,Accipiter collaris,species,Microspizias collaris,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
261198,Accipiter cooperii,species,Accipiter cooperii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2900696,Accipiter erythrauchen,species,Accipiter erythrauchen,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
555099,Accipiter erythronemius,species,Accipiter striatus erythronemius,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
387793,Accipiter erythropus,species,Accipiter erythropus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993365,Accipiter erythropus zenkeri,subspecies,Accipiter erythropus zenkeri,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387794,Accipiter fasciatus,species,Accipiter fasciatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387795,Accipiter francesiae,species,Accipiter francesiae,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993367,Accipiter francesiae brutus,subspecies,Accipiter francesiae brutus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993366,Accipiter francesiae francesiae,subspecies,Accipiter francesiae francesiae,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993368,Accipiter francesiae griveaudi,subspecies,Accipiter francesiae griveaudi,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993369,Accipiter francesiae pusillus,subspecies,Accipiter francesiae pusillus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
8957,Accipiter gentilis,species,Accipiter gentilis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387754,Accipiter gentilis albidus,subspecies,Accipiter gentilis albidus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387756,Accipiter gentilis arrigonii,subspecies,Accipiter gentilis arrigonii,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387753,Accipiter gentilis atricapillus,subspecies,Accipiter gentilis atricapillus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387757,Accipiter gentilis buteoides,subspecies,Accipiter gentilis buteoides,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
335093,Accipiter gentilis fujiyamae,subspecies,Accipiter gentilis fujiyamae,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387758,Accipiter gentilis gentilis,subspecies,Accipiter gentilis gentilis,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387759,Accipiter gentilis laingi,subspecies,Accipiter gentilis laingi,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387760,Accipiter gentilis marginatus,subspecies,Accipiter gentilis marginatus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
258924,Accipiter gentilis schvedowi,subspecies,Accipiter gentilis schvedowi,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1941232,Accipiter gentilis x Accipiter cooperii,species,,,,,hybrid
2900697,Accipiter griseiceps,species,Accipiter griseiceps,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
258530,Accipiter gularis,species,Accipiter gularis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2723874,Accipiter gularis iwasakii,subspecies,Accipiter gularis iwasakii,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1037346,Accipiter gundlachi,species,Accipiter gundlachi,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1620263,Accipiter haplochrous,species,Accipiter haplochrous,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2900698,Accipiter henicogrammus,species,Accipiter henicogrammus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387797,Accipiter henstii,species,Accipiter henstii,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868207,Accipiter hiogaster,species,Accipiter hiogaster,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387798,Accipiter imitator,species,Accipiter imitator,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911130,Accipiter luteoschistaceus,species,Accipiter luteoschistaceus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993370,Accipiter madagascariensis,species,Accipiter madagascariensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387799,Accipiter melanochlamys,species,Accipiter melanochlamys,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387800,Accipiter melanoleucus,species,Accipiter melanoleucus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2571263,Accipiter melanoleucus melanoleucus,subspecies,Accipiter melanoleucus melanoleucus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2571264,Accipiter melanoleucus temminckii,subspecies,Accipiter melanoleucus temminckii,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2571053,Accipiter meyerianus,species,Accipiter meyerianus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993371,Accipiter minullus,species,Accipiter minullus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911131,Accipiter nanus,species,Accipiter nanus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
211598,Accipiter nisus,species,Accipiter nisus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
344232,Accipiter nisus nisosimilis,subspecies,Accipiter nisus nisosimilis,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
223782,Accipiter nisus nisus,subspecies,Accipiter nisus nisus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993373,Accipiter nisus punicus,subspecies,Accipiter nisus punicus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993372,Accipiter nisus wolterstorffi,subspecies,Accipiter nisus wolterstorffi,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387801,Accipiter novaehollandiae,species,Accipiter novaehollandiae,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387802,Accipiter novaehollandiae rufoschistaceus,subspecies,Accipiter hiogaster rufoschistaceus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
387803,Accipiter ovampensis,species,Accipiter ovampensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387804,Accipiter poliocephalus,species,Accipiter poliocephalus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387805,Accipiter poliogaster,species,Accipiter poliogaster,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2915014,Accipiter princeps,species,Accipiter princeps,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911132,Accipiter pulchellus,species,Accipiter hiogaster pulchellus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",lump
2911133,Accipiter rhodogaster,species,Accipiter rhodogaster,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2219150,Accipiter rufitorques,species,Accipiter rufitorques,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518696,Accipiter rufiventris,species,Accipiter rufiventris,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518750,Accipiter rufiventris rufiventris,subspecies,Accipiter rufiventris rufiventris,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387806,Accipiter soloensis,species,Accipiter soloensis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
56330,Accipiter striatus,species,Accipiter striatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2812612,Accipiter striatus fringilloides,subspecies,Accipiter striatus fringilloides,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1926643,Accipiter striatus perobscurus,subspecies,Accipiter striatus perobscurus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387761,Accipiter striatus striatus,subspecies,Accipiter striatus striatus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1926642,Accipiter striatus velox,subspecies,Accipiter striatus velox,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2812613,Accipiter striatus venator,subspecies,Accipiter striatus venator,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387807,Accipiter striatus ventralis,subspecies,Accipiter striatus ventralis,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
56255,Accipiter superciliosus,species,Microspizias superciliosus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
387808,Accipiter tachiro,species,Accipiter tachiro,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993374,Accipiter tachiro pembaensis,subspecies,Accipiter tachiro pembaensis,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993375,Accipiter tachiro sparsimfasciatus,subspecies,Accipiter tachiro sparsimfasciatus,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993380,Accipiter tachiro unduliventer,subspecies,Accipiter tachiro unduliventer,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387809,Accipiter toussenelii,species,Accipiter tachiro toussenelii,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",lump
993378,Accipiter toussenelii canescens,subspecies,Accipiter tachiro canescens,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993379,Accipiter toussenelii lopezi,subspecies,Accipiter tachiro lopezi,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993377,Accipiter toussenelii macroscelides,subspecies,Accipiter tachiro macroscelides,group (monotypic),Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993376,Accipiter toussenelii toussenelii,subspecies,Accipiter tachiro toussenelii,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
2868208,Accipiter trinotatus,species,Accipiter trinotatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
210844,Accipiter trivirgatus,species,Accipiter trivirgatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454375,Accipiter trivirgatus extimus,subspecies,Accipiter trivirgatus extimus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454379,Accipiter trivirgatus palawanus,subspecies,Accipiter trivirgatus palawanus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868209,Accipiter ventralis,species,Accipiter striatus ventralis,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",lump
387810,Accipiter virgatus,species,Accipiter virgatus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454380,Accipiter virgatus confusus,subspecies,Accipiter virgatus confusus,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454381,Accipiter virgatus quagga,subspecies,Accipiter virgatus quagga,subspecies,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
175824,Aceros cassidix,species,Rhyticeros cassidix,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
175825,Aceros corrugatus,species,Rhabdotorrhinus corrugatus,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
175826,Aceros corrugatus rugosus,subspecies,Rhabdotorrhinus corrugatus,species,Bucerotiformes,Bucerotidae (Hornbills),invalid subspecies
1244801,Aceros leucocephalus,species,Rhabdotorrhinus leucocephalus,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
866358,Aceros nipalensis,species,Aceros nipalensis,species,Bucerotiformes,Bucerotidae (Hornbills),
978109,Aceros waldeni,species,Rhabdotorrhinus waldeni,species,Bucerotiformes,Bucerotidae (Hornbills),taxonomy
315540,Achaetops pycnopygius,species,Achaetops pycnopygius,species,Passeriformes,Macrosphenidae (African Warblers),
513298,Acridotheres albocinctus,species,Acridotheres albocinctus,species,Passeriformes,Sturnidae (Starlings),
513302,Acridotheres burmannicus,species,Acridotheres burmannicus,species,Passeriformes,Sturnidae (Starlings),
513299,Acridotheres cinereus,species,Acridotheres cinereus,species,Passeriformes,Sturnidae (Starlings),
451382,Acridotheres cristatellus,species,Acridotheres cristatellus,species,Passeriformes,Sturnidae (Starlings),
245038,Acridotheres fuscus,species,Acridotheres fuscus,species,Passeriformes,Sturnidae (Starlings),
451383,Acridotheres ginginianus,species,Acridotheres ginginianus,species,Passeriformes,Sturnidae (Starlings),
451384,Acridotheres grandis,species,Acridotheres grandis,species,Passeriformes,Sturnidae (Starlings),
451385,Acridotheres javanicus,species,Acridotheres javanicus,species,Passeriformes,Sturnidae (Starlings),
513300,Acridotheres melanopterus,species,Acridotheres melanopterus,species,Passeriformes,Sturnidae (Starlings),
279927,Acridotheres tristis,species,Acridotheres tristis,species,Passeriformes,Sturnidae (Starlings),
1602266,Acritillas indica,species,Iole indica,species,Passeriformes,Pycnonotidae (Bulbuls),taxonomy
