GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2023_Names,eBird_Group,reason,person,notes
1507328,Abeillia abeillei,species,Abeillia abeillei,species,,,
752199,Abroscopus albogularis,species,Abroscopus albogularis,species,,,
979563,Abroscopus albogularis fulvifacies,subspecies,Abroscopus albogularis fulvifacies,subspecies,,,
565568,Abroscopus schisticeps,species,Abroscopus schisticeps,species,,,
330771,Abroscopus superciliaris,species,Abroscopus superciliaris,species,,,
331026,Abroscopus superciliaris superciliaris,subspecies,Abroscopus superciliaris superciliaris,subspecies,,,
125058,Aburria aburri,species,Aburria aburri,species,,,
266413,Acanthagenys rufogularis,species,Acanthagenys rufogularis,species,,,
200166,Acanthidops bairdi,species,Acanthidops bairdi,species,,,
1603565,Acanthis cabaret,species,Acanthis cabaret,species,,,
54769,Acanthis flammea,species,Acanthis flammea,species,,,
1603566,Acanthis flammea islandica,subspecies,Acanthis flammea islandica,subspecies,,,
512418,Acanthis flammea rostrata,subspecies,Acanthis flammea rostrata,subspecies,,,
90719,Acanthis hornemanni,species,Acanthis hornemanni,species,,,
57068,Acanthisitta chloris,species,Acanthisitta chloris,species,,,
1333333,Acanthisitta chloris chloris,subspecies,Acanthisitta chloris chloris,subspecies,,,
2851597,Acanthisitta chloris granti,subspecies,Acanthisitta chloris granti,subspecies,,,
117185,Acanthiza apicalis,species,Acanthiza apicalis,species,,,
108821,Acanthiza chrysorrhoa,species,Acanthiza chrysorrhoa,species,,,
2489339,Acanthiza cinerea,species,Acanthiza cinerea,species,,,
117186,Acanthiza ewingii,species,Acanthiza ewingii,species,,,
117188,Acanthiza inornata,species,Acanthiza inornata,species,,,
117189,Acanthiza iredalei,species,Acanthiza iredalei,species,,,
117190,Acanthiza katherina,species,Acanthiza katherina,species,,,
117191,Acanthiza lineata,species,Acanthiza lineata,species,,,
117493,Acanthiza murina,species,Acanthiza murina,species,,,
117192,Acanthiza nana,species,Acanthiza nana,species,,,
117193,Acanthiza pusilla,species,Acanthiza pusilla,species,,,
117195,Acanthiza reguloides,species,Acanthiza reguloides,species,,,
117197,Acanthiza robustirostris,species,Acanthiza robustirostris,species,,,
117199,Acanthiza uropygialis,species,Acanthiza uropygialis,species,,,
266335,Acanthorhynchus superciliosus,species,Acanthorhynchus superciliosus,species,,,
266336,Acanthorhynchus tenuirostris,species,Acanthorhynchus tenuirostris,species,,,
720576,Acanthornis magna,species,Acanthornis magna,species,,,
3075238,Acanthornis magna greeniana,subspecies,Acanthornis magna greeniana,subspecies,,,
2868200,Accipiter albogularis,species,Accipiter albogularis,species,,,
387787,Accipiter badius,species,Accipiter badius,species,,,
387788,Accipiter badius cenchroides,subspecies,Accipiter badius cenchroides,subspecies,,,
993363,Accipiter badius dussumieri,subspecies,Accipiter badius dussumieri,subspecies,,,
1028790,Accipiter badius poliopsis,subspecies,Accipiter badius poliopsis,subspecies,,,
387789,Accipiter badius polyzonoides,subspecies,Accipiter badius polyzonoides,subspecies,,,
387790,Accipiter badius sphenurus,subspecies,Accipiter badius sphenurus,subspecies,,,
321116,Accipiter bicolor,species,Accipiter bicolor,species,,,
2884257,Accipiter brachyurus,species,Accipiter brachyurus,species,,,
387791,Accipiter brevipes,species,Accipiter brevipes,species,,,
2884258,Accipiter butleri,species,Accipiter butleri,species,,,
993364,Accipiter castanilius,species,Accipiter castanilius,species,,,
2868201,Accipiter chilensis,species,Accipiter chilensis,species,,,
518695,Accipiter cirrocephalus,species,Accipiter cirrocephalus,species,,,
518749,Accipiter cirrocephalus cirrocephalus,subspecies,Accipiter cirrocephalus cirrocephalus,subspecies,,,
261198,Accipiter cooperii,species,Accipiter cooperii,species,,,
2900696,Accipiter erythrauchen,species,Accipiter erythrauchen,species,,,
387793,Accipiter erythropus,species,Accipiter erythropus,species,,,
993365,Accipiter erythropus zenkeri,subspecies,Accipiter erythropus zenkeri,subspecies,,,
387794,Accipiter fasciatus,species,Accipiter fasciatus,species,,,
387795,Accipiter francesiae,species,Accipiter francesiae,species,,,
993367,Accipiter francesiae brutus,subspecies,Accipiter francesiae brutus,subspecies,,,
993366,Accipiter francesiae francesiae,subspecies,Accipiter francesiae francesiae,subspecies,,,
993368,Accipiter francesiae griveaudi,subspecies,Accipiter francesiae griveaudi,subspecies,,,
993369,Accipiter francesiae pusillus,subspecies,Accipiter francesiae pusillus,subspecies,,,
8957,Accipiter gentilis,species,Accipiter gentilis,species,,,
387754,Accipiter gentilis albidus,subspecies,Accipiter gentilis albidus,subspecies,,,
387756,Accipiter gentilis arrigonii,subspecies,Accipiter gentilis arrigonii,subspecies,,,
387757,Accipiter gentilis buteoides,subspecies,Accipiter gentilis buteoides,subspecies,,,
335093,Accipiter gentilis fujiyamae,subspecies,Accipiter gentilis fujiyamae,subspecies,,,
387758,Accipiter gentilis gentilis,subspecies,Accipiter gentilis gentilis,subspecies,,,
387760,Accipiter gentilis marginatus,subspecies,Accipiter gentilis marginatus,subspecies,,,
258924,Accipiter gentilis schvedowi,subspecies,Accipiter gentilis schvedowi,subspecies,,,
2900697,Accipiter griseiceps,species,Accipiter griseiceps,species,,,
258530,Accipiter gularis,species,Accipiter gularis,species,,,
2723874,Accipiter gularis iwasakii,subspecies,Accipiter gularis iwasakii,subspecies,,,
1037346,Accipiter gundlachi,species,Accipiter gundlachi,species,,,
1620263,Accipiter haplochrous,species,Accipiter haplochrous,species,,,
2900698,Accipiter henicogrammus,species,Accipiter henicogrammus,species,,,
387797,Accipiter henstii,species,Accipiter henstii,species,,,
2868207,Accipiter hiogaster,species,Accipiter hiogaster,species,,,
387798,Accipiter imitator,species,Accipiter imitator,species,,,
2911130,Accipiter luteoschistaceus,species,Accipiter luteoschistaceus,species,,,
993370,Accipiter madagascariensis,species,Accipiter madagascariensis,species,,,
387799,Accipiter melanochlamys,species,Accipiter melanochlamys,species,,,
387800,Accipiter melanoleucus,species,Accipiter melanoleucus,species,,,
2571263,Accipiter melanoleucus melanoleucus,subspecies,Accipiter melanoleucus melanoleucus,subspecies,,,
2571264,Accipiter melanoleucus temminckii,subspecies,Accipiter melanoleucus temminckii,subspecies,,,
2571053,Accipiter meyerianus,species,Accipiter meyerianus,species,,,
993371,Accipiter minullus,species,Accipiter minullus,species,,,
2911131,Accipiter nanus,species,Accipiter nanus,species,,,
211598,Accipiter nisus,species,Accipiter nisus,species,,,
344232,Accipiter nisus nisosimilis,subspecies,Accipiter nisus nisosimilis,subspecies,,,
223782,Accipiter nisus nisus,subspecies,Accipiter nisus nisus,subspecies,,,
993373,Accipiter nisus punicus,subspecies,Accipiter nisus punicus,subspecies,,,
993372,Accipiter nisus wolterstorffi,subspecies,Accipiter nisus wolterstorffi,subspecies,,,
387801,Accipiter novaehollandiae,species,Accipiter novaehollandiae,species,,,
387803,Accipiter ovampensis,species,Accipiter ovampensis,species,,,
387804,Accipiter poliocephalus,species,Accipiter poliocephalus,species,,,
387805,Accipiter poliogaster,species,Accipiter poliogaster,species,,,
2915014,Accipiter princeps,species,Accipiter princeps,species,,,
2911133,Accipiter rhodogaster,species,Accipiter rhodogaster,species,,,
2219150,Accipiter rufitorques,species,Accipiter rufitorques,species,,,
518696,Accipiter rufiventris,species,Accipiter rufiventris,species,,,
387806,Accipiter soloensis,species,Accipiter soloensis,species,,,
56330,Accipiter striatus,species,Accipiter striatus,species,,,
2812612,Accipiter striatus fringilloides,subspecies,Accipiter striatus fringilloides,subspecies,,,
1926643,Accipiter striatus perobscurus,subspecies,Accipiter striatus perobscurus,subspecies,,,
387761,Accipiter striatus striatus,subspecies,Accipiter striatus striatus,subspecies,,,
1926642,Accipiter striatus velox,subspecies,Accipiter striatus velox,subspecies,,,
2812613,Accipiter striatus venator,subspecies,Accipiter striatus venator,subspecies,,,
387808,Accipiter tachiro,species,Accipiter tachiro,species,,,
993380,Accipiter tachiro unduliventer,subspecies,Accipiter tachiro unduliventer,subspecies,,,
2868208,Accipiter trinotatus,species,Accipiter trinotatus,species,,,
210844,Accipiter trivirgatus,species,Accipiter trivirgatus,species,,,
1454375,Accipiter trivirgatus extimus,subspecies,Accipiter trivirgatus extimus,subspecies,,,
1454379,Accipiter trivirgatus palawanus,subspecies,Accipiter trivirgatus palawanus,subspecies,,,
387810,Accipiter virgatus,species,Accipiter virgatus,species,,,
1454380,Accipiter virgatus confusus,subspecies,Accipiter virgatus confusus,subspecies,,,
1454381,Accipiter virgatus quagga,subspecies,Accipiter virgatus quagga,subspecies,,,
866358,Aceros nipalensis,species,Aceros nipalensis,species,,,
315540,Achaetops pycnopygius,species,Achaetops pycnopygius,species,,,
513298,Acridotheres albocinctus,species,Acridotheres albocinctus,species,,,
513302,Acridotheres burmannicus,species,Acridotheres burmannicus,species,,,
513299,Acridotheres cinereus,species,Acridotheres cinereus,species,,,
451382,Acridotheres cristatellus,species,Acridotheres cristatellus,species,,,
245038,Acridotheres fuscus,species,Acridotheres fuscus,species,,,
451383,Acridotheres ginginianus,species,Acridotheres ginginianus,species,,,
451384,Acridotheres grandis,species,Acridotheres grandis,species,,,
451385,Acridotheres javanicus,species,Acridotheres javanicus,species,,,
513300,Acridotheres melanopterus,species,Acridotheres melanopterus,species,,,
279927,Acridotheres tristis,species,Acridotheres tristis,species,,,
3116516,Acridotheres tristis tristis,subspecies,Acridotheres tristis tristis,subspecies,,,
1602266,Acritillas indica,species,Acritillas indica,species,,,
589931,Acrobatornis fonsecai,species,Acrobatornis fonsecai,species,,,
435336,Acrocephalus aequinoctialis,species,Acrocephalus aequinoctialis,species,,,
1114288,Acrocephalus aequinoctialis aequinoctialis,subspecies,Acrocephalus aequinoctialis aequinoctialis,subspecies,,,
1114289,Acrocephalus aequinoctialis pistor,subspecies,Acrocephalus aequinoctialis pistor,subspecies,,,
68476,Acrocephalus agricola,species,Acrocephalus agricola,species,,,
39621,Acrocephalus arundinaceus,species,Acrocephalus arundinaceus,species,,,
659163,Acrocephalus arundinaceus arundinaceus,subspecies,Acrocephalus arundinaceus arundinaceus,subspecies,,,
331005,Acrocephalus arundinaceus zarudnyi,subspecies,Acrocephalus arundinaceus zarudnyi,subspecies,,,
435339,Acrocephalus atyphus,species,Acrocephalus atyphus,species,,,
1176440,Acrocephalus atyphus atyphus,subspecies,Acrocephalus atyphus atyphus,subspecies,,,
857051,Acrocephalus atyphus eremus,subspecies,Acrocephalus atyphus eremus,subspecies,,,
857052,Acrocephalus atyphus niauensis,subspecies,Acrocephalus atyphus niauensis,subspecies,,,
857053,Acrocephalus atyphus palmarum,subspecies,Acrocephalus atyphus palmarum,subspecies,,,
68484,Acrocephalus australis,species,Acrocephalus australis,species,,,
1114290,Acrocephalus australis australis,subspecies,Acrocephalus australis australis,subspecies,,,
663261,Acrocephalus australis gouldi,subspecies,Acrocephalus australis gouldi,subspecies,,,
68469,Acrocephalus bistrigiceps,species,Acrocephalus bistrigiceps,species,,,
126873,Acrocephalus brevipennis,species,Acrocephalus brevipennis,species,,,
435337,Acrocephalus caffer,species,Acrocephalus caffer,species,,,
126874,Acrocephalus concinens,species,Acrocephalus concinens,species,,,
659174,Acrocephalus concinens concinens,subspecies,Acrocephalus concinens concinens,subspecies,,,
68474,Acrocephalus dumetorum,species,Acrocephalus dumetorum,species,,,
435335,Acrocephalus familiaris,species,Acrocephalus familiaris,species,,,
68482,Acrocephalus gracilirostris,species,Acrocephalus gracilirostris,species,,,
659173,Acrocephalus gracilirostris parvus,subspecies,Acrocephalus gracilirostris parvus,subspecies,,,
68479,Acrocephalus griseldis,species,Acrocephalus griseldis,species,,,
1114299,Acrocephalus hiwae,species,Acrocephalus hiwae,species,,,
435340,Acrocephalus kerearako,species,Acrocephalus kerearako,species,,,
435343,Acrocephalus kerearako kaoko,subspecies,Acrocephalus kerearako kaoko,subspecies,,,
435344,Acrocephalus kerearako kerearako,subspecies,Acrocephalus kerearako kerearako,subspecies,,,
1114297,Acrocephalus longirostris,species,Acrocephalus longirostris,species,,,
435332,Acrocephalus luscinius,species,Acrocephalus luscinius,species,,,
68470,Acrocephalus melanopogon,species,Acrocephalus melanopogon,species,,,
126891,Acrocephalus melanopogon melanopogon,subspecies,Acrocephalus melanopogon melanopogon,subspecies,,,
126894,Acrocephalus melanopogon mimicus,subspecies,Acrocephalus melanopogon mimicus,subspecies,,,
435338,Acrocephalus mendanae,species,Acrocephalus mendanae,species,,,
435346,Acrocephalus mendanae consobrina,subspecies,Acrocephalus mendanae consobrina,subspecies,,,
435347,Acrocephalus mendanae dido,subspecies,Acrocephalus mendanae dido,subspecies,,,
435348,Acrocephalus mendanae fatuhivae,subspecies,Acrocephalus mendanae fatuhivae,subspecies,,,
435350,Acrocephalus mendanae mendanae,subspecies,Acrocephalus mendanae mendanae,subspecies,,,
992917,Acrocephalus musae,species,Acrocephalus musae,species,,,
1114292,Acrocephalus musae garretti,subspecies,Acrocephalus musae garretti,subspecies,,,
68480,Acrocephalus newtoni,species,Acrocephalus newtoni,species,,,
68483,Acrocephalus orientalis,species,Acrocephalus orientalis,species,,,
161545,Acrocephalus orinus,species,Acrocephalus orinus,species,,,
68471,Acrocephalus paludicola,species,Acrocephalus paludicola,species,,,
68475,Acrocephalus palustris,species,Acrocephalus palustris,species,,,
857054,Acrocephalus percernis,species,Acrocephalus percernis,species,,,
2599762,Acrocephalus percernis aquilonis,subspecies,Acrocephalus percernis aquilonis,subspecies,,,
2599763,Acrocephalus percernis idae,subspecies,Acrocephalus percernis idae,subspecies,,,
2599760,Acrocephalus percernis percernis,subspecies,Acrocephalus percernis percernis,subspecies,,,
2599761,Acrocephalus percernis postremus,subspecies,Acrocephalus percernis postremus,subspecies,,,
435334,Acrocephalus rehsei,species,Acrocephalus rehsei,species,,,
435341,Acrocephalus rimitarae,species,Acrocephalus rimitarae,species,,,
2575904,Acrocephalus rodericanus,species,Acrocephalus rodericanus,species,,,
126875,Acrocephalus rufescens,species,Acrocephalus rufescens,species,,,
1902270,Acrocephalus rufescens rufescens,subspecies,Acrocephalus rufescens rufescens,subspecies,,,
659166,Acrocephalus rufescens senegalensis,subspecies,Acrocephalus rufescens senegalensis,subspecies,,,
52609,Acrocephalus schoenobaenus,species,Acrocephalus schoenobaenus,species,,,
48156,Acrocephalus scirpaceus,species,Acrocephalus scirpaceus,species,,,
68481,Acrocephalus sechellensis,species,Acrocephalus sechellensis,species,,,
435331,Acrocephalus sorghophilus,species,Acrocephalus sorghophilus,species,,,
68485,Acrocephalus stentoreus,species,Acrocephalus stentoreus,species,,,
1109733,Acrocephalus stentoreus amyae,subspecies,Acrocephalus stentoreus amyae,subspecies,,,
126890,Acrocephalus stentoreus brunnescens,subspecies,Acrocephalus stentoreus brunnescens,subspecies,,,
1109734,Acrocephalus stentoreus harterti,subspecies,Acrocephalus stentoreus harterti,subspecies,,,
659165,Acrocephalus stentoreus levantinus,subspecies,Acrocephalus stentoreus levantinus,subspecies,,,
435333,Acrocephalus syrinx,species,Acrocephalus syrinx,species,,,
435342,Acrocephalus taiti,species,Acrocephalus taiti,species,,,
68477,Acrocephalus tangorum,species,Acrocephalus tangorum,species,,,
126876,Acrocephalus vaughani,species,Acrocephalus vaughani,species,,,
1114300,Acrocephalus yamashinae,species,Acrocephalus yamashinae,species,,,
589933,Acropternis orthonyx,species,Acropternis orthonyx,species,,,
8992,Acryllium vulturinum,species,Acryllium vulturinum,species,,,
2231372,Actenoides bougainvillei,species,Actenoides bougainvillei,species,,,
342375,Actenoides concretus,species,Actenoides concretus,species,,,
1651254,Actenoides hombroni,species,Actenoides hombroni,species,,,
342376,Actenoides lindsayi,species,Actenoides lindsayi,species,,,
2231375,Actenoides monachus,species,Actenoides monachus,species,,,
2231378,Actenoides princeps,species,Actenoides princeps,species,,,
201347,Actinodura cyanouroptera,species,Actinodura cyanouroptera,species,,,
241760,Actinodura cyanouroptera cyanouroptera,subspecies,Actinodura cyanouroptera cyanouroptera,subspecies,,,
2183856,Actinodura cyanouroptera orientalis,subspecies,Actinodura cyanouroptera orientalis,subspecies,,,
634315,Actinodura cyanouroptera sordida,subspecies,Actinodura cyanouroptera sordida,subspecies,,,
2183857,Actinodura cyanouroptera sordidior,subspecies,Actinodura cyanouroptera sordidior,subspecies,,,
520217,Actinodura cyanouroptera wingatei,subspecies,Actinodura cyanouroptera wingatei,subspecies,,,
889799,Actinodura egertoni,species,Actinodura egertoni,species,,,
2183867,Actinodura egertoni egertoni,subspecies,Actinodura egertoni egertoni,subspecies,,,
889798,Actinodura morrisoniana,species,Actinodura morrisoniana,species,,,
201297,Actinodura nipalensis,species,Actinodura nipalensis,species,,,
889800,Actinodura ramsayi,species,Actinodura ramsayi,species,,,
2944897,Actinodura sodangorum,species,Actinodura sodangorum,species,,,
181643,Actinodura souliei,species,Actinodura souliei,species,,,
634293,Actinodura souliei griseinucha,subspecies,Actinodura souliei griseinucha,subspecies,,,
2183860,Actinodura souliei souliei,subspecies,Actinodura souliei souliei,subspecies,,,
2944899,Actinodura strigula,species,Actinodura strigula,species,,,
2978677,Actinodura strigula traii,subspecies,Actinodura strigula traii,subspecies,,,
2978676,Actinodura strigula yunnanensis,subspecies,Actinodura strigula yunnanensis,subspecies,,,
889797,Actinodura waldeni,species,Actinodura waldeni,species,,,
320702,Actitis hypoleucos,species,Actitis hypoleucos,species,,,
190659,Actitis macularius,species,Actitis macularius,species,,,
118783,Actophilornis africanus,species,Actophilornis africanus,species,,,
2944901,Actophilornis albinucha,species,Actophilornis albinucha,species,,,
304594,Adelomyia melanogenys,species,Adelomyia melanogenys,species,,,
190660,Aechmophorus clarkii,species,Aechmophorus clarkii,species,,,
57236,Aechmophorus occidentalis,species,Aechmophorus occidentalis,species,,,
73327,Aegithalos caudatus,species,Aegithalos caudatus,species,,,
762565,Aegithalos caudatus europaeus,subspecies,Aegithalos caudatus europaeus,subspecies,,,
762566,Aegithalos caudatus irbii,subspecies,Aegithalos caudatus irbii,subspecies,,,
1590994,Aegithalos caudatus magnus,subspecies,Aegithalos caudatus magnus,subspecies,,,
762567,Aegithalos caudatus taiti,subspecies,Aegithalos caudatus taiti,subspecies,,,
1590993,Aegithalos caudatus trivirgatus,subspecies,Aegithalos caudatus trivirgatus,subspecies,,,
312068,Aegithalos concinnus,species,Aegithalos concinnus,species,,,
762610,Aegithalos concinnus concinnus,subspecies,Aegithalos concinnus concinnus,subspecies,,,
331029,Aegithalos concinnus iredalei,subspecies,Aegithalos concinnus iredalei,subspecies,,,
762611,Aegithalos concinnus manipurensis,subspecies,Aegithalos concinnus manipurensis,subspecies,,,
762612,Aegithalos concinnus talifuensis,subspecies,Aegithalos concinnus talifuensis,subspecies,,,
2944900,Aegithalos exilis,species,Aegithalos exilis,species,,,
762613,Aegithalos fuliginosus,species,Aegithalos fuliginosus,species,,,
762568,Aegithalos glaucogularis,species,Aegithalos glaucogularis,species,,,
1461128,Aegithalos glaucogularis vinaceus,subspecies,Aegithalos glaucogularis vinaceus,subspecies,,,
762614,Aegithalos iouschistos,species,Aegithalos iouschistos,species,,,
762619,Aegithalos leucogenys,species,Aegithalos leucogenys,species,,,
762620,Aegithalos niveogularis,species,Aegithalos niveogularis,species,,,
1763891,Aegithina lafresnayei,species,Aegithina lafresnayei,species,,,
2292720,Aegithina nigrolutea,species,Aegithina nigrolutea,species,,,
175021,Aegithina tiphia,species,Aegithina tiphia,species,,,
2478747,Aegithina viridissima,species,Aegithina viridissima,species,,,
2478748,Aegithina viridissima viridissima,subspecies,Aegithina viridissima viridissima,subspecies,,,
56265,Aegolius acadicus,species,Aegolius acadicus,species,,,
103375,Aegolius funereus,species,Aegolius funereus,species,,,
126850,Aegolius harrisii,species,Aegolius harrisii,species,,,
2972151,Aegolius ridgwayi,species,Aegolius ridgwayi,species,,,
3024790,Aegotheles affinis,species,Aegotheles affinis,species,,,
48277,Aegotheles albertisi,species,Aegotheles albertisi,species,,,
48278,Aegotheles bennettii,species,Aegotheles bennettii,species,,,
191485,Aegotheles bennettii bennettii,subspecies,Aegotheles bennettii bennettii,subspecies,,,
191488,Aegotheles bennettii wiedenfeldi,subspecies,Aegotheles bennettii wiedenfeldi,subspecies,,,
671283,Aegotheles crinifrons,species,Aegotheles crinifrons,species,,,
48279,Aegotheles cristatus,species,Aegotheles cristatus,species,,,
191490,Aegotheles cristatus cristatus,subspecies,Aegotheles cristatus cristatus,subspecies,,,
671282,Aegotheles insignis,species,Aegotheles insignis,species,,,
191444,Aegotheles savesi,species,Aegotheles savesi,species,,,
671284,Aegotheles tatei,species,Aegotheles tatei,species,,,
191441,Aegotheles wallacii,species,Aegotheles wallacii,species,,,
196402,Aegotheles wallacii gigas,subspecies,Aegotheles wallacii gigas,subspecies,,,
196401,Aegotheles wallacii wallacii,subspecies,Aegotheles wallacii wallacii,subspecies,,,
8959,Aegypius monachus,species,Aegypius monachus,species,,,
30401,Aepypodius arfakianus,species,Aepypodius arfakianus,species,,,
1517985,Aepypodius bruijnii,species,Aepypodius bruijnii,species,,,
46475,Aerodramus bartschi,species,Aerodramus bartschi,species,,,
46488,Aerodramus brevirostris,species,Aerodramus brevirostris,species,,,
46476,Aerodramus elaphrus,species,Aerodramus elaphrus,species,,,
46477,Aerodramus francicus,species,Aerodramus francicus,species,,,
46478,Aerodramus fuciphagus,species,Aerodramus fuciphagus,species,,,
46479,Aerodramus fuciphagus vestitus,subspecies,Aerodramus fuciphagus vestitus,subspecies,,,
2336751,Aerodramus germani,species,Aerodramus germani,species,,,
1496111,Aerodramus hirundinaceus,species,Aerodramus hirundinaceus,species,,,
2182456,Aerodramus leucophaeus,species,Aerodramus leucophaeus,species,,,
46481,Aerodramus maximus,species,Aerodramus maximus,species,,,
207698,Aerodramus maximus lowi,subspecies,Aerodramus maximus lowi,subspecies,,,
243318,Aerodramus mearnsi,species,Aerodramus mearnsi,species,,,
2182457,Aerodramus ocistus,species,Aerodramus ocistus,species,,,
2182459,Aerodramus ocistus gilliardi,subspecies,Aerodramus ocistus gilliardi,subspecies,,,
2182458,Aerodramus ocistus ocistus,subspecies,Aerodramus ocistus ocistus,subspecies,,,
326917,Aerodramus papuensis,species,Aerodramus papuensis,species,,,
46485,Aerodramus salangana,species,Aerodramus salangana,species,,,
46486,Aerodramus sawtelli,species,Aerodramus sawtelli,species,,,
2182455,Aerodramus sororum,species,Aerodramus sororum,species,,,
46482,Aerodramus spodiopygius,species,Aerodramus spodiopygius,species,,,
46483,Aerodramus spodiopygius assimilis,subspecies,Aerodramus spodiopygius assimilis,subspecies,,,
2182460,Aerodramus spodiopygius leucopygius,subspecies,Aerodramus spodiopygius leucopygius,subspecies,,,
46484,Aerodramus spodiopygius spodiopygius,subspecies,Aerodramus spodiopygius spodiopygius,subspecies,,,
46487,Aerodramus terraereginae,species,Aerodramus terraereginae,species,,,
243317,Aerodramus vanikorensis,species,Aerodramus vanikorensis,species,,,
207699,Aerodramus vulcanorum,species,Aerodramus vulcanorum,species,,,
243319,Aerodramus whiteheadi,species,Aerodramus whiteheadi,species,,,
1118496,Aeronautes andecolus,species,Aeronautes andecolus,species,,,
190674,Aeronautes saxatalis,species,Aeronautes saxatalis,species,,,
28685,Aethia cristatella,species,Aethia cristatella,species,,,
28699,Aethia psittacula,species,Aethia psittacula,species,,,
28686,Aethia pusilla,species,Aethia pusilla,species,,,
28687,Aethia pygmaea,species,Aethia pygmaea,species,,,
2479993,Aethomyias arfakianus,species,Aethomyias arfakianus,species,,,
2479992,Aethomyias nigrorufus,species,Aethomyias nigrorufus,species,,,
2479994,Aethomyias papuensis,species,Aethomyias papuensis,species,,,
2479995,Aethomyias spilodera,species,Aethomyias spilodera,species,,,
233785,Aethopyga boltoni,species,Aethopyga boltoni,species,,,
667139,Aethopyga christinae,species,Aethopyga christinae,species,,,
667140,Aethopyga duyvenbodei,species,Aethopyga duyvenbodei,species,,,
