eBird/Clements Name,Macaulay Audio Total,GenBank species,GB_Nucleotide_Seqs
Abeillia abeillei,15,Abeillia abeillei,6
Abroscopus albogularis,84,Abroscopus albogularis,23
Abroscopus schisticeps,14,Abroscopus schisticeps,15
Abroscopus superciliaris,51,Abroscopus superciliaris,21
Aburria aburri,103,Aburria aburri,24
Acanthagenys rufogularis,71,Acanthagenys rufogularis,39
Acanthidops bairdi,23,Acanthidops bairdi,7
Acanthis cabaret,85,Acanthis cabaret,58
Acanthis flammea,809,Acanthis flammea,480
Acanthis hornemanni,64,Acanthis hornemanni,46
Acanthisitta chloris,18,Acanthisitta chloris,70396
Acanthiza apicalis,53,Acanthiza apicalis,74
Acanthiza chrysorrhoa,72,Acanthiza chrysorrhoa,18
Acanthiza cinerea,4,Acanthiza cinerea,13
Acanthiza ewingii,78,Acanthiza ewingii,14
Acanthiza inornata,14,Acanthiza inornata,10
Acanthiza iredalei,1,Acanthiza iredalei,8
Acanthiza katherina,8,Acanthiza katherina,16
Acanthiza lineata,35,Acanthiza lineata,10
Acanthiza murina,4,Acanthiza murina,5
Acanthiza nana,57,Acanthiza nana,25
Acanthiza pusilla,256,Acanthiza pusilla,112
Acanthiza reguloides,61,Acanthiza reguloides,13
Acanthiza robustirostris,12,Acanthiza robustirostris,7
Acanthiza uropygialis,40,Acanthiza uropygialis,11
Acanthorhynchus superciliosus,24,Acanthorhynchus superciliosus,10
Acanthorhynchus tenuirostris,82,Acanthorhynchus tenuirostris,10
Acanthornis magna,12,Acanthornis magna,5
Accipiter albogularis,1,Accipiter albogularis,0
Accipiter badius,337,Accipiter badius,27
Accipiter bicolor,45,Accipiter bicolor,15
Accipiter brachyurus,0,Accipiter brachyurus,0
Accipiter brevipes,2,Accipiter brevipes,5
Accipiter butleri,0,Accipiter butleri,0
Accipiter castanilius,0,Accipiter castanilius,7
Accipiter cirrocephalus,30,Accipiter cirrocephalus,3
Accipiter collaris,0,Accipiter collaris,0
Accipiter cooperii,1228,Accipiter cooperii,41
Accipiter erythrauchen,1,Accipiter erythrauchen,0
Accipiter erythropus,0,Accipiter erythropus,7
Accipiter fasciatus,52,Accipiter fasciatus,0
Accipiter francesiae,5,Accipiter francesiae,44
Accipiter gentilis,296,Accipiter gentilis,468
Accipiter griseiceps,0,Accipiter griseiceps,0
Accipiter gularis,4,Accipiter gularis,50
Accipiter gundlachi,5,Accipiter gundlachi,1
Accipiter haplochrous,2,Accipiter haplochrous,4
Accipiter henicogrammus,4,Accipiter henicogrammus,0
Accipiter henstii,9,Accipiter henstii,14
Accipiter hiogaster,5,Accipiter hiogaster,1
Accipiter imitator,1,Accipiter imitator,1
Accipiter luteoschistaceus,0,Accipiter luteoschistaceus,0
Accipiter madagascariensis,2,Accipiter madagascariensis,2
Accipiter melanochlamys,0,Accipiter melanochlamys,1
Accipiter melanoleucus,22,Accipiter melanoleucus,31
Accipiter meyerianus,0,Accipiter meyerianus,7
Accipiter minullus,5,Accipiter minullus,14
Accipiter nanus,1,Accipiter nanus,0
Accipiter nisus,70,Accipiter nisus,73
Accipiter novaehollandiae,11,Accipiter novaehollandiae,0
Accipiter ovampensis,0,Accipiter ovampensis,3
Accipiter poliocephalus,0,Accipiter poliocephalus,4
Accipiter poliogaster,10,Accipiter poliogaster,2
Accipiter princeps,0,Accipiter princeps,0
Accipiter rhodogaster,2,Accipiter rhodogaster,0
