PetersTaxonomy	InClements?
Abeillia_abeillei	Clements
Abroscopus_albogularis	Clements
Abroscopus_schisticeps	Clements
Abroscopus_superciliaris	Clements
Aburria_aburri	Clements
Acanthidops_bairdii	No
Acanthis_cannabina	No
Acanthis_flammea	Clements
Acanthis_flavirostris	No
Acanthis_hornemanni	Clements
Acanthis_johannis	No
Acanthis_yemenensis	No
Acanthisitta_chloris	Clements
Acanthiza_apicalis	Clements
Acanthiza_chrysorrhoa	Clements
Acanthiza_ewingii	Clements
Acanthiza_inornata	Clements
Acanthiza_iredalei	Clements
Acanthiza_katherina	Clements
Acanthiza_lineata	Clements
Acanthiza_murina	Clements
Acanthiza_nana	Clements
Acanthiza_pusilla	Clements
Acanthiza_reguloides	Clements
Acanthiza_robustirostris	Clements
Acanthiza_uropygialis	Clements
Acanthorhynchus_superciliosus	Clements
Acanthorhynchus_tenuirostris	Clements
Accipiter_albogularis	Clements
Accipiter_badius	Clements
Accipiter_bicolor	Clements
Accipiter_brachyurus	Clements
Accipiter_brevipes	Clements
Accipiter_buergersi	No
Accipiter_burgersi	No
Accipiter_butleri	Clements
Accipiter_castanilius	Clements
Accipiter_chilensis	No
Accipiter_cirrhocephalus	No
Accipiter_collaris	Clements
Accipiter_collaris	Clements
Accipiter_cooperii	Clements
Accipiter_doriae	No
Accipiter_eichhorni	No
Accipiter_erythrauchen	Clements
Accipiter_erythronemius	No
Accipiter_erythropus	Clements
Accipiter_fasciatus	Clements
Accipiter_francesii	No
Accipiter_gentilis	Clements
Accipiter_griseiceps	Clements
Accipiter_gularis	Clements
Accipiter_gundlachi	Clements
Accipiter_guttifer	No
Accipiter_haplochrous	Clements
Accipiter_henicogrammus	Clements
Accipiter_henstii	Clements
Accipiter_imitator	Clements
Accipiter_luteoschistaceus	Clements
Accipiter_madagascariensis	Clements
Accipiter_melanochlamys	Clements
Accipiter_melanoleucus	Clements
Accipiter_meyerianus	Clements
Accipiter_minullus	Clements
Accipiter_nanus	Clements
Accipiter_nisus	Clements
Accipiter_novaehollandiae	Clements
Accipiter_ovampensis	Clements
Accipiter_pectoralis	No
Accipiter_poliocephalus	Clements
Accipiter_poliogaster	Clements
Accipiter_princeps	Clements
Accipiter_radiatus	No
Accipiter_rhodogaster	Clements
Accipiter_rufitorques	Clements
Accipiter_rufiventris	Clements
Accipiter_soloensis	Clements
Accipiter_soloensis	Clements
Accipiter_striatus	Clements
Accipiter_superciliosus	Clements
Accipiter_tachiro	Clements
Accipiter_trinotatus	Clements
Accipiter_trivirgatus	Clements
Accipiter_virgatus	Clements
Aceros_cassidix	No
Aceros_corrugatus	No
Aceros_everetti	No
Aceros_leucocephalus	No
Aceros_narcondami	No
Aceros_nipalensis	Clements
Aceros_plicatus	No
Aceros_undulatus	No
Acestrura_berlepschi	No
Acestrura_bombus	No
Acestrura_decorata	No
Acestrura_harterti	No
Acestrura_heliodor	No
Acestrura_mulsanti	No
Achaetops_pycnopygius	Clements
Acridotheres_albocinctus	Clements
Acridotheres_cristatellus	Clements
Acridotheres_fuscus	Clements
Acridotheres_ginginianus	Clements
Acridotheres_grandis	Clements
Acridotheres_tristis	Clements
Acrocephalus_aedon	No
Acrocephalus_aequinoctialis	Clements
Acrocephalus_agricola	Clements
Acrocephalus_arundinaceus	Clements
Acrocephalus_atyphus	Clements
Acrocephalus_baeticatus	Clements
Acrocephalus_bistrigiceps	Clements
Acrocephalus_brevipennis	Clements
Acrocephalus_caffer	Clements
Acrocephalus_cinnamomeus	No
Acrocephalus_concinens	Clements
Acrocephalus_dumetorum	Clements
Acrocephalus_familiaris	Clements
Acrocephalus_gracilirostris	Clements
Acrocephalus_luscinia	No
Acrocephalus_melanopogon	Clements
Acrocephalus_newtoni	Clements
Acrocephalus_orientalis	Clements
Acrocephalus_orinus	Clements
Acrocephalus_paludicola	Clements
Acrocephalus_palustris	Clements
Acrocephalus_rufescens	Clements
Acrocephalus_schoenobaenus	Clements
Acrocephalus_scirpaceus	Clements
Acrocephalus_sorghophilus	Clements
Acrocephalus_stentoreus	Clements
Acrocephalus_vaughani	Clements
Acropternis_orthonyx	Clements
Acryllium_vulturinum	Clements
Actinodura_egertoni	Clements
Actinodura_morrisoniana	Clements
Actinodura_nipalensis	Clements
Actinodura_ramsayi	Clements
Actinodura_souliei	Clements
Actinodura_waldeni	Clements
Actitis_hypoleucos	Clements
Actitis_macularia	No
Actophilomis_albinucha	No
Actophilornis_africana	No
Adamastor_cinereus	No
Adelomyia_melanogenys	Clements
Aechmophorus_major	No
Aechmophorus_occidentalis	Clements
Aechmorhynchus_cancellatus	No
Aechmorhynchus_parvirostris	No
Aegintha_temporalis	No
Aegithalos_caudatus	Clements
Aegithalos_concinnus	Clements
Aegithalos_fuliginosus	Clements
Aegithalos_iouschistos	Clements
Aegithalos_leucogenys	Clements
Aegithina_lafresnayei	Clements
Aegithina_nigrolutea	Clements
Aegithina_tiphia	Clements
Aegithina_viridissima	Clements
Aegolius_acadicus	Clements
Aegolius_funereus	Clements
Aegolius_harrisii	Clements
Aegolius_ridgwayi	Clements
Aegotheles_albertisi	Clements
Aegotheles_bennettii	Clements
Aegotheles_crinifrons	Clements
Aegotheles_cristatus	Clements
Aegotheles_insignis	Clements
Aegotheles_savesi	Clements
Aegotheles_wallacii	Clements
Aegypius_calvus	No
Aegypius_monachus	Clements
Aegypius_occipitalis	No
Aegypius_tracheliotus	No
Aenigmatolimnas_marginalis	No
Aepypodius_arfakianus	Clements
Aepypodius_bruijnii	Clements
Aeronautes_montivagus	Clements
Aeronautes_saxatalis	Clements
Aerops_albicollis	No
Aerops_boehmi	No
Aerornis_semicollaris	No
Aerornis_senex	No
Aethia_cristatella	Clements
Aethia_pusilla	Clements
Aethia_pygmaea	Clements
Aethopyga_boltoni	Clements
Aethopyga_christinae	Clements
Aethopyga_duyvenbodei	Clements
Aethopyga_eximia	Clements
Aethopyga_flagrans	Clements
Aethopyga_gouldiae	Clements
Aethopyga_ignicauda	Clements
Aethopyga_mystacalis	Clements
Aethopyga_nipalensis	Clements
Aethopyga_primigenius	No
Aethopyga_pulcherrima	Clements
Aethopyga_saturata	Clements
Aethopyga_shelleyi	Clements
Aethopyga_siparaja	Clements
Afribyx_senegallus	No
Afrotis_atra	No
Agamia_agami	Clements
Agapeta_gularis	No
Agapornis_cana	No
Agapornis_fischeri	Clements
Agapornis_lilianae	Clements
Agapornis_nigrigenis	Clements
Agapornis_personata	No
Agapornis_pullaria	No
Agapornis_roseicollis	Clements
Agapornis_swinderniana	No
Agapornis_taranta	Clements
Agelaius_cyanopus	No
Agelaius_humeralis	Clements
Agelaius_icterocephalus	No
Agelaius_phoeniceus	Clements
Agelaius_ruficapillus	No
Agelaius_thilius	No
Agelaius_tricolor	Clements
Agelaius_xanthomus	Clements
Agelastes_meleagrides	Clements
Aglaeactis_aliciae	Clements
Aglaeactis_castelnaudii	Clements
Aglaeactis_cupripennis	Clements
Aglaeactis_pamela	Clements
Aglaiocercus_coelestis	Clements
Aglaiocercus_emmae	No
Aglaiocercus_kingi	No
Agriocharis_ocellata	No
Agriornis_andicola	No
Agriornis_livida	No
Agriornis_microptera	No
Agriornis_montana	No
Agriornis_murina	No
Aidemosyne_modesta	No
Ailuroedus_buccoides	Clements
Ailuroedus_crassirostris	Clements
Aimophila_aestivalis	No
Aimophila_botterii	No
Aimophila_carpalis	No
Aimophila_cassinii	No
Aimophila_humeralis	No
Aimophila_mystacalis	No
Aimophila_notosticta	Clements
Aimophila_quinquestriata	No
Aimophila_rufescens	Clements
Aimophila_ruficauda	No
Aimophila_ruficeps	Clements
Aimophila_stolzmanni	No
Aimophila_strigiceps	No
Aimophila_sumichrasti	No
Aix_galericulata	Clements
Aix_sponsa	Clements
Ajaia_ajaja	No
Alaemon_alaudipes	Clements
Alaemon_hamertoni	Clements
Alauda_arvensis	Clements
Alauda_gulgula	Clements
Alca_torda	Clements
Alcedo_atthis	Clements
Alcedo_coerulescens	Clements
Alcedo_cristata	No
Alcedo_euryzona	Clements
Alcedo_hercules	Clements
Alcedo_leucogaster	No
Alcedo_meninting	Clements
Alcedo_quadribrachys	Clements
Alcedo_semitorquata	Clements
Alcippe_abyssinica	No
Alcippe_atriceps	No
Alcippe_brunnea	No
Alcippe_brunneicauda	Clements
Alcippe_castaneceps	No
Alcippe_chrysotis	No
Alcippe_cinerea	No
Alcippe_cinereiceps	No
Alcippe_morrisonia	Clements
Alcippe_nipalensis	Clements
Alcippe_peracensis	Clements
