Xeno-canto Matched to eBird/Clements,No.Recordings,GenBank species,GB_Nucleotide_Seqs
Abeillia abeillei,17,Abeillia abeillei,6
Abroscopus albogularis,44,Abroscopus albogularis,23
Abroscopus schisticeps,12,Abroscopus schisticeps,15
Abroscopus superciliaris,73,Abroscopus superciliaris,21
Aburria aburri,59,Aburria aburri,24
Acanthagenys rufogularis,38,Acanthagenys rufogularis,39
Acanthidops bairdi,19,Acanthidops bairdi,7
Acanthis cabaret,106,Acanthis cabaret,58
Acanthis flammea,390,Acanthis flammea,480
Acanthis hornemanni,65,Acanthis hornemanni,46
Acanthisitta chloris,28,Acanthisitta chloris,70396
Acanthiza apicalis,13,Acanthiza apicalis,74
Acanthiza chrysorrhoa,24,Acanthiza chrysorrhoa,18
Acanthiza cinerea,3,Acanthiza cinerea,13
Acanthiza ewingii,17,Acanthiza ewingii,14
Acanthiza inornata,9,Acanthiza inornata,10
Acanthiza iredalei,2,Acanthiza iredalei,8
Acanthiza katherina,10,Acanthiza katherina,16
Acanthiza lineata,17,Acanthiza lineata,10
Acanthiza murina,5,Acanthiza murina,5
Acanthiza nana,11,Acanthiza nana,25
Acanthiza pusilla,66,Acanthiza pusilla,112
Acanthiza reguloides,19,Acanthiza reguloides,13
Acanthiza robustirostris,6,Acanthiza robustirostris,7
Acanthiza uropygialis,24,Acanthiza uropygialis,11
Acanthorhynchus superciliosus,5,Acanthorhynchus superciliosus,10
Acanthorhynchus tenuirostris,33,Acanthorhynchus tenuirostris,10
Acanthornis magna,6,Acanthornis magna,5
Accipiter albogularis,5,Accipiter albogularis,0
Accipiter badius,92,Accipiter badius,27
Accipiter bicolor,58,Accipiter bicolor,15
Accipiter brachyurus,0,Accipiter brachyurus,0
Accipiter brevipes,3,Accipiter brevipes,5
Accipiter butleri,0,Accipiter butleri,0
Accipiter castanilius,0,Accipiter castanilius,7
Accipiter cirrocephalus,7,Accipiter cirrocephalus,3
Accipiter collaris,4,Accipiter collaris,0
Accipiter cooperii,141,Accipiter cooperii,41
Accipiter erythrauchen,3,Accipiter erythrauchen,0
Accipiter erythropus,1,Accipiter erythropus,7
Accipiter fasciatus,17,Accipiter fasciatus,0
Accipiter francesiae,13,Accipiter francesiae,44
Accipiter gentilis,379,Accipiter gentilis,468
Accipiter griseiceps,0,Accipiter griseiceps,0
Accipiter gularis,28,Accipiter gularis,50
Accipiter gundlachi,1,Accipiter gundlachi,1
Accipiter haplochrous,2,Accipiter haplochrous,4
Accipiter henicogrammus,11,Accipiter henicogrammus,0
Accipiter henstii,10,Accipiter henstii,14
Accipiter hiogaster,45,Accipiter hiogaster,1
Accipiter imitator,0,Accipiter imitator,1
Accipiter luteoschistaceus,0,Accipiter luteoschistaceus,0
Accipiter madagascariensis,6,Accipiter madagascariensis,2
Accipiter melanochlamys,2,Accipiter melanochlamys,1
Accipiter melanoleucus,25,Accipiter melanoleucus,31
Accipiter meyerianus,0,Accipiter meyerianus,7
Accipiter minullus,20,Accipiter minullus,14
Accipiter nanus,4,Accipiter nanus,0
Accipiter nisus,145,Accipiter nisus,73
Accipiter novaehollandiae,14,Accipiter novaehollandiae,0
Accipiter ovampensis,4,Accipiter ovampensis,3
Accipiter poliocephalus,1,Accipiter poliocephalus,4
Accipiter poliogaster,24,Accipiter poliogaster,2
Accipiter princeps,0,Accipiter princeps,0
Accipiter rhodogaster,4,Accipiter rhodogaster,0
Accipiter rufitorques,3,Accipiter rufitorques,0
Accipiter rufiventris,3,Accipiter rufiventris,10
Accipiter soloensis,4,Accipiter soloensis,10
Accipiter striatus,89,Accipiter striatus,97
Accipiter superciliosus,22,Accipiter superciliosus,12
Accipiter tachiro,56,Accipiter tachiro,38
Accipiter toussenelii,11,Accipiter toussenelii,18
Accipiter trinotatus,22,Accipiter trinotatus,0
Accipiter trivirgatus,18,Accipiter trivirgatus,16
Accipiter virgatus,16,Accipiter virgatus,21
Aceros nipalensis,15,Aceros nipalensis,6
Achaetops pycnopygius,13,Achaetops pycnopygius,2
Acridotheres albocinctus,1,Acridotheres albocinctus,7
Acridotheres burmannicus,19,Acridotheres burmannicus,8
Acridotheres cinereus,0,Acridotheres cinereus,11
Acridotheres cristatellus,30,Acridotheres cristatellus,22
Acridotheres fuscus,28,Acridotheres fuscus,18
Acridotheres ginginianus,11,Acridotheres ginginianus,10
Acridotheres grandis,16,Acridotheres grandis,13
Acridotheres javanicus,30,Acridotheres javanicus,17
Acridotheres melanopterus,6,Acridotheres melanopterus,9
Acridotheres tristis,232,Acridotheres tristis,87
Acrobatornis fonsecai,16,Acrobatornis fonsecai,5
Acrocephalus aequinoctialis,4,Acrocephalus aequinoctialis,17
Acrocephalus agricola,69,Acrocephalus agricola,97
Acrocephalus arundinaceus,697,Acrocephalus arundinaceus,1181
Acrocephalus astrolabii,0,Acrocephalus astrolabii,0
Acrocephalus atyphus,1,Acrocephalus atyphus,17
Acrocephalus australis,59,Acrocephalus australis,80
