GenBankID,GB_Nucleotide_Seqs,GenBank_Name,GenBank_Group,EBirdClements_Names,Ebird_Group,Clements_Order,Clements_Family,Reconciliation,IUCN_Status
1507328,6,Abeillia_abeillei,species,Abeillia_abeillei,species,Caprimulgiformes,Trochilidae (Hummingbirds),,Least Concern
752199,18,Abroscopus_albogularis,species,Abroscopus_albogularis,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),,Least Concern
565568,15,Abroscopus_schisticeps,species,Abroscopus_schisticeps,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),,Least Concern
330771,18,Abroscopus_superciliaris,species,Abroscopus_superciliaris,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),,Least Concern
125058,24,Aburria_aburri,species,Aburria_aburri,species,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)",,Near Threatened
266413,39,Acanthagenys_rufogularis,species,Acanthagenys_rufogularis,species,Passeriformes,Meliphagidae (Honeyeaters),,Least Concern
N/A,N/A,N/A,N/A,Acanthidops_bairdi,species,Passeriformes,Thraupidae (Tanagers and Allies),,Least Concern
200166,7,Acanthidops_bairdii,species,Acanthidops_bairdi,species,Passeriformes,Thraupidae (Tanagers and Allies),spelling,Least Concern
1603565,58,Acanthis_cabaret,species,Acanthis_cabaret,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,NoBLIname
54769,54,Acanthis_flammea,species,Acanthis_flammea,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,Least Concern
90719,22,Acanthis_hornemanni,species,Acanthis_hornemanni,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",,NoBLIname
57068,70395,Acanthisitta_chloris,species,Acanthisitta_chloris,species,Passeriformes,Acanthisittidae (New Zealand Wrens),,Least Concern
117185,74,Acanthiza_apicalis,species,Acanthiza_apicalis,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
108821,18,Acanthiza_chrysorrhoa,species,Acanthiza_chrysorrhoa,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
1158111,13,Gerygone_cinerea,species,Acanthiza_cinerea,species,Passeriformes,Acanthizidae (Thornbills and Allies),taxonomy,Least Concern
2489339,0,Acanthiza_cinerea,species,Acanthiza_cinerea,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117186,14,Acanthiza_ewingii,species,Acanthiza_ewingii,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117188,10,Acanthiza_inornata,species,Acanthiza_inornata,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117189,8,Acanthiza_iredalei,species,Acanthiza_iredalei,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117190,16,Acanthiza_katherina,species,Acanthiza_katherina,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117191,10,Acanthiza_lineata,species,Acanthiza_lineata,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117493,5,Acanthiza_murina,species,Acanthiza_murina,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117192,25,Acanthiza_nana,species,Acanthiza_nana,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117193,112,Acanthiza_pusilla,species,Acanthiza_pusilla,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117195,13,Acanthiza_reguloides,species,Acanthiza_reguloides,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117197,7,Acanthiza_robustirostris,species,Acanthiza_robustirostris,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
117199,11,Acanthiza_uropygialis,species,Acanthiza_uropygialis,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
266335,10,Acanthorhynchus_superciliosus,species,Acanthorhynchus_superciliosus,species,Passeriformes,Meliphagidae (Honeyeaters),,Least Concern
266336,10,Acanthorhynchus_tenuirostris,species,Acanthorhynchus_tenuirostris,species,Passeriformes,Meliphagidae (Honeyeaters),,Least Concern
720576,5,Acanthornis_magna,species,Acanthornis_magna,species,Passeriformes,Acanthizidae (Thornbills and Allies),,Least Concern
N/A,N/A,N/A,N/A,Accipiter_albogularis,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
387787,11,Accipiter_badius,species,Accipiter_badius,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
321116,15,Accipiter_bicolor,species,Accipiter_bicolor,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
N/A,N/A,N/A,N/A,Accipiter_brachyurus,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Vulnerable
387791,5,Accipiter_brevipes,species,Accipiter_brevipes,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
N/A,N/A,N/A,N/A,Accipiter_butleri,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Vulnerable
993364,7,Accipiter_castanilius,species,Accipiter_castanilius,species,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",,Least Concern
