no.Xeno-Canto,Common name in Xeno-canto,Scientific name in Xeno-canto,Status,No. Recordings,No. Background,matched to eBird/Clements taxa,,,,no.Clements,English name,scientific name
1,Common Ostrich,Struthio camelus,,5,0,Struthio camelus,,,,1,Common Ostrich,Struthio camelus
2,Somali Ostrich,Struthio molybdophanes,,1,0,Struthio molybdophanes,,,,2,Somali Ostrich,Struthio molybdophanes
3,Greater Rhea,Rhea americana,,22,1,Rhea americana,,,,3,Greater Rhea,Rhea americana
4,Lesser Rhea,Rhea pennata,,4,0,Rhea pennata,,,,4,Lesser Rhea,Rhea pennata
5,Southern Brown Kiwi,Apteryx australis,,3,0,Apteryx australis,,,,5,Tawny-breasted Tinamou,Nothocercus julius
6,North Island Brown Kiwi,Apteryx mantelli,,16,0,Apteryx mantelli,,,,6,Highland Tinamou,Nothocercus bonapartei
7,Okarito Kiwi,Apteryx rowi,,5,0,Apteryx rowi,,,,7,Hooded Tinamou,Nothocercus nigrocapillus
8,Little Spotted Kiwi,Apteryx owenii,,6,0,Apteryx owenii,,,,8,Gray Tinamou,Tinamus tao
9,Great Spotted Kiwi,Apteryx haastii,,6,0,Apteryx haastii,,,,9,Solitary Tinamou,Tinamus solitarius
10,Southern Cassowary,Casuarius casuarius,,20,0,Casuarius casuarius,,,,10,Black Tinamou,Tinamus osgoodi
11,Dwarf Cassowary,Casuarius bennetti,,1,0,Casuarius bennetti,,,,11,Great Tinamou,Tinamus major
12,Northern Cassowary,Casuarius unappendiculatus,,6,1,Casuarius unappendiculatus,,,,12,White-throated Tinamou,Tinamus guttatus
13,Emu,Dromaius novaehollandiae,,14,1,Dromaius novaehollandiae,,,,13,Cinereous Tinamou,Crypturellus cinereus
14,Grey Tinamou,Tinamus tao,,55,82,Tinamus tao,,,,14,Berlepsch's Tinamou,Crypturellus berlepschi
15,Solitary Tinamou,Tinamus solitarius,,57,45,Tinamus solitarius,,,,15,Little Tinamou,Crypturellus soui
16,Black Tinamou,Tinamus osgoodi,,11,1,Tinamus osgoodi,,,,16,Tepui Tinamou,Crypturellus ptaritepui
17,Great Tinamou,Tinamus major,,109,265,Tinamus major,,,,17,Brown Tinamou,Crypturellus obsoletus
18,White-throated Tinamou,Tinamus guttatus,,47,367,Tinamus guttatus,,,,18,Undulated Tinamou,Crypturellus undulatus
19,Highland Tinamou,Nothocercus bonapartei,,40,17,Nothocercus bonapartei,,,,19,Pale-browed Tinamou,Crypturellus transfasciatus
20,Tawny-breasted Tinamou,Nothocercus julius,,51,9,Nothocercus julius,,,,20,Brazilian Tinamou,Crypturellus strigulosus
21,Hooded Tinamou,Nothocercus nigrocapillus,,14,5,Nothocercus nigrocapillus,,,,21,Gray-legged Tinamou,Crypturellus duidae
22,Berlepsch's Tinamou,Crypturellus berlepschi,,9,0,Crypturellus berlepschi,,,,22,Red-legged Tinamou,Crypturellus erythropus
23,Cinereous Tinamou,Crypturellus cinereus,,222,295,Crypturellus cinereus,,,,23,Yellow-legged Tinamou,Crypturellus noctivagus
